2024-04-16_04:47:06.782580, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:20.530949, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:20.724046, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:20.900451, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:21.058123, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:21.345679, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:21.517891, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:21.723897, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:21.895341, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:22.090888, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:22.275770, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:22.454908, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:22.641545, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:22.808028, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:22.988472, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_04:47:23.119703, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_04:47:23.292663, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_04:47:23.461469, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_04:47:23.622507, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:23.787925, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:23.953393, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:24.131375, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:24.293261, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:24.462456, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_04:47:24.649143, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_04:47:24.810948, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:24.976513, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:25.153259, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_04:47:25.333191, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:25.510479, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:25.693315, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:25.866549, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_04:47:26.070970, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_04:47:26.253344, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:26.413401, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:26.587126, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:26.784280, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:26.950066, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:27.133150, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:27.449505, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:27.631467, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:27.817125, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:27.996191, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:28.155671, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:28.321747, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:28.482206, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_04:47:28.656823, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:28.815310, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:28.977755, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:29.157094, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:29.315815, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:29.480136, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:29.663045, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:29.823519, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_04:47:30.001542, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:30.158180, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_04:47:30.325229, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:30.486625, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:30.651100, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_04:47:30.813275, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:30.980157, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:31.148055, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:31.328250, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:31.488937, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:31.695770, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_04:47:31.859708, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:32.016975, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:32.186227, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_04:47:32.344214, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:32.536196, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:32.700310, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:33.013326, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:33.201431, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:33.397152, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:33.583158, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:33.769134, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:33.937278, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:34.128516, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_04:47:34.317699, The student is not leaning forward, not making eye contact, smiling, and not displaying open posture, current expression is doubt.
2024-04-16_04:47:34.501575, The student is not leaning forward, not making eye contact, smiling, and not displaying open posture, current expression is sympathetic.
2024-04-16_04:47:34.669401, The student is not leaning forward, not making eye contact, smiling, and not displaying open posture, current expression is sympathetic.
2024-04-16_04:47:34.828623, The student is not leaning forward, not making eye contact, smiling, and not displaying open posture, current expression is sympathetic.
2024-04-16_04:47:35.005555, The student is not leaning forward, not making eye contact, smiling, and not displaying open posture, current expression is sympathetic.
2024-04-16_04:47:35.176727, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:35.343459, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:35.540132, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:35.731095, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:35.924232, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:36.100752, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:36.296852, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:36.487369, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:36.667096, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:36.864316, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:37.054233, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:37.230513, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:37.388483, The student is not leaning forward, not making eye contact, smiling, and not displaying open posture, current expression is sympathetic.
2024-04-16_04:47:37.552793, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:37.732151, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:37.920195, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_04:47:38.096927, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_04:47:38.265516, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_04:47:38.456323, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_04:47:38.622549, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:38.856541, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:39.033222, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:39.220116, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:39.401024, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:39.591186, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:39.748553, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:39.934849, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:40.111320, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:40.310971, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:40.502155, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:40.688794, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:40.855339, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:41.031948, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:41.227175, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:41.403978, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:41.602663, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:41.793628, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:41.967060, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:42.142872, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:42.307817, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:42.506999, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:42.693123, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:42.874820, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:43.063512, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_04:47:43.245858, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_04:47:43.430901, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:43.625084, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_04:47:43.795890, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:43.989106, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_04:47:44.168671, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_04:47:44.331735, The student is leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:44.488282, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_04:47:44.676435, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:44.989147, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_04:47:45.174981, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:45.357663, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_04:47:45.541075, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_04:47:45.729431, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_04:47:45.921762, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:46.107318, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is doubt.
2024-04-16_04:47:46.295283, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_04:47:46.470741, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:46.665640, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:46.847347, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is doubt.
2024-04-16_04:47:47.045386, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:47.234212, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_04:47:47.439451, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:47.633175, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:47.824064, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_04:47:47.992207, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:48.173220, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_04:47:48.371223, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:48.544137, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:48.740444, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is doubt.
2024-04-16_04:47:48.934176, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is doubt.
2024-04-16_04:47:49.128886, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:49.307846, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is doubt.
2024-04-16_04:47:49.500174, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:49.681965, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:49.873917, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:50.068975, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_04:47:50.259651, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is doubt.
2024-04-16_04:47:50.431746, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:50.589698, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:50.775666, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:50.963047, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:51.285838, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_04:47:51.485494, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:51.673499, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_04:47:51.862798, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_04:47:52.062103, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is doubt.
2024-04-16_04:47:52.258789, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is doubt.
